data,cpu_used
2022-03-30T09:53:25Z,0.05%
2022-03-30T09:53:30Z,0.05%
2022-03-30T09:53:35Z,0.08%
2022-03-30T09:53:40Z,0.05%
2022-03-30T09:53:45Z,0.03%
2022-03-30T09:53:51Z,0.05%
2022-03-30T09:53:56Z,0.03%
2022-03-30T09:54:01Z,0.03%
2022-03-30T09:54:06Z,0.03%
2022-03-30T09:54:11Z,0.03%
2022-03-30T09:54:16Z,0.05%
2022-03-30T09:54:21Z,0.03%
2022-03-30T09:54:26Z,0.05%
2022-03-30T09:54:31Z,0.03%
2022-03-30T09:54:36Z,0.05%
2022-03-30T09:54:41Z,0.05%
2022-03-30T09:54:46Z,0.05%
2022-03-30T09:54:51Z,0.03%
2022-03-30T09:54:56Z,0.03%
2022-03-30T09:55:01Z,0.03%
2022-03-30T09:55:06Z,0.05%
2022-03-30T09:55:11Z,0.08%
2022-03-30T09:55:16Z,0.03%
2022-03-30T09:55:21Z,0.03%
2022-03-30T09:55:26Z,0.05%
2022-03-30T09:55:31Z,0.05%
2022-03-30T09:55:36Z,0.08%
2022-03-30T09:55:41Z,0.05%
2022-03-30T09:55:46Z,0.08%
2022-03-30T09:55:51Z,0.05%
2022-03-30T09:55:56Z,0.13%
2022-03-30T09:56:01Z,0.03%
2022-03-30T09:56:06Z,0.29%
2022-03-30T09:56:11Z,0.10%
2022-03-30T09:56:16Z,0.03%
2022-03-30T09:56:21Z,0.05%
2022-03-30T09:56:26Z,0.05%
2022-03-30T09:56:31Z,0.03%
2022-03-30T09:56:36Z,0.03%
2022-03-30T09:56:41Z,0.03%
2022-03-30T09:56:46Z,0.08%
2022-03-30T09:56:51Z,0.03%
2022-03-30T09:58:47Z,0.10%
2022-03-30T09:59:59Z,0.03%
